TITLE,SHORT_DESC_ENG,LONG_DESC_ENG,MA_MAIN_ACTIVITIES,NC_CONTRACT_NATURE_Text,ORIGINAL_CPV,ORIGINAL_CPV_Text,PROCUREMENT_TOTAL,PROCUREMENT_TOTAL_CUR,VAL_ESTIMATED_TOTAL,VAL_ESTIMATED_TOTAL_CUR,VAL_TOTAL,VAL_TOTAL_CUR
"Asphalt Works for 5 Municipalities, Framework Agreement","The competition concerns the delivery of asphalt works on municipal roads, streets, foot and cycle paths, pavements, squares, parking places, some private roads and any selected new installations that are operated and maintained by the individual municipalities.The annual value of the procurement is estimated to be: 15 000 000 NOK-30 000 000 NOK excluding VAT per year. The value is an estimate and, thus, not binding. See the tender documentation for further information.","Lots/groupsTenders cannot be submitted for parts of the assignment and alternative tenders are not allowed. The contracting authority has considered dividing up the assignment in accordance with PPR §19-4, but has decided that this is not suitable for this type of contract.",S,Works,45233220,Surface work for roads,1,NOK,keine Angabe,keine Angabe,1,NOK
Provisional Cable Installations at Mosseporten Transformer Station,The establishment of a provisional cable installations at Mosseporten transformation station.,The establishment of a provisional cable installations at Mosseporten transformation station.,S,Works,45314310,Installation of cable laying,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe
Power Line Contract,Construction of a power line route in Moss.,Construction of a power line route in Moss.,S,Works,45231400,Construction work for electricity power lines,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe
Building and Ground work in Mosseporten Transformer Station,Building and ground work in Mosseporten transformer station.,Building and ground work in Mosseporten transformer station.,S,Works,45100000,Site preparation work,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe
"Framework Agreement, Excavating Contractor — Test Project Archaeology (New Publication)","The contract includes all work that needs to be carried out with an excavator or similar machinery and associated necessary works, in connection with archaeological records, surveys and excavations.","Test project archaeology archaeology — excavating contractor.The contract includes all work that needs to be carried out with an excavator or similar machinery and associated necessary works, in connection with archaeological records, surveys and excavations.",8,Works,45100000,Site preparation work,120000000.00,NOK,70000000.00,NOK,70000000.00,NOK
"Framework Agreement, Excavating Contractor — Test Project Archaeology (New Publication)","The contract includes all work that needs to be carried out with an excavator or similar machinery and associated necessary works, in connection with archaeological records, surveys and excavations.",Test project archaeology archaeology — excavating contractor.The framework agreement period is 2 years with an option for 1 + 1 year extension.,8,Works,45100000,Site preparation work,120000000.00,NOK,50000000.00,NOK,50000000.00,NOK
Water Meters,"ØRIK invites tenderers to an open tender competition for the delivery of water meters for the municipalities of: Eidsvoll, Gjerdrum, Hurdal, Nannestad, Nes and Ullensaker.See the requirement specifications for further information.","ØRIK invites tenderers to an open tender competition for the delivery of water meters for the municipalities of: Eidsvoll, Gjerdrum, Hurdal, Nannestad, Nes and Ullensaker.See the requirement specifications for further information.",S,Supplies,38421100,Water meters,6800000,NOK,6800000,NOK,6800000,NOK
Nursing Home Textiles,"A framework agreement will be established for supplementary purchase of textiles for the majority of the municipal nursing homes, but also to other entities such as for e.g. nursery schools.This procurement is a collaboration between the Nursing Home Agency in Oslo Municipality, Nesodden, Vestby, Ås, Ski and Oppegård Municipalities.","The textiles include i.a. duvets, pillows, bedding, sheets,water-proof cloths, etc. and baby-bibs for nursery schools. For a comprehensive list, see Annex 1, the contracting authority's requirement specification.The exception is work clothing, bedspreads of upholstery fabric, upholstery fabrics and curtains.",S,Supplies,39514000,Toilet and kitchen linen,10000000.00,NOK,keine Angabe,keine Angabe,10000000.00,NOK
Wheeled Loader for Gatedalen miljøanlegg [Gatedalen Environmental Plant],"In accordance with the Act and Public Procurement Regulations, Sarpsborg municipality (hereafter referred to as the contracting authority) invites tenderers to participate in an open tender competition for the delivery of a wheeled loader to Gatedalen Environmental Plant.","In accordance with the Act and Public Procurement Regulations, Sarpsborg municipality (hereafter referred to as the contracting authority) invites tenderers to participate in an open tender competition for the delivery of a wheeled loader to Gatedalen Environmental Plant.",S,Supplies,34144710,Wheeled loaders,1687940,NOK,1687940,NOK,1687940,NOK
R00691 and R00842 — Framework Agreement for the Hire of Coffee Machines and Water Dispensers,"The framework agreement is for the hire of coffee machines and water dispensers.The coffee machines must use coffee beans to brew fresh coffee. All parts of the coffee beans must be used.There must be a possibility for tapping hot water from the coffee machines and several types of coffee/coffee drinks must be offered. Separate taps for coffee drinks and water.The water dispensers must offer carbonated water and still water.Tenders may be submitted for 1 or both of the lots given below:Lot 1: North Norway, from and including Nordland and northwards;Lot 2: South Norway, from and including Trøndelag and southwards.Each lot will be evaluated separately as an independent procurement.The contracting authority: The Norwegian Defence Estates Agency.The following organisations have an option to enter the framework agreement:— The Norwegian Armed Forces;— The Norwegian Defence Research Establishment (FFI);— The Norwegian Defence Materiel Agency (FMA).","Floor mounted and bench models are requested. The majority of the hired coffee machines will be floor standing models.Systems containing disposable capsules are not requested.The coffee from the machines must free of charge for our users and we do not accept tenders containing coffee machines with payment systems.If tenders are submitted for both lots, the same type of machines must be offered for both areas.",D,Supplies,39711310,Electric coffee makers,60500000.00,NOK,keine Angabe,keine Angabe,60500000.00,NOK
"Moveable X-ray Apparatuses, Digital, Førde Health Trust","The contracting authority requests 2 digital, moveable X-ray apparatuses. Each apparatus shall include a large wireless detector. A small wireless detector that can be split between the apparatuses shall also be included in the tender.","The equipment shall be used for thorax and trauma examinations in all the hospital's departments for examinations on all patient groups, from premature babies in incubators to bedridden adult obese patients. The equipment shall be used for critical situations with a high workload and must therefore have a short start-up time and a quick examination time. The equipment must be reliable and easy to handle and transport and easy to adjust.See Annex 2 — the requirements specification for more detailed information.",H,Supplies,33111600,Radiography devices,4896500.00,NOK,keine Angabe,keine Angabe,4896500.00,NOK
Framework Agreement for the Procurement of Summer Flowers and Autumn Plants,"The objective of the framework agreement is to ensure the municipality's requirements for annual summer flowers and autumn plants to be planted in municipal parks, graveyards and other properties.","Bærum Municipality would like to enter into an agreement with 1 supplier. The objective of the agreement is to ensure the municipality's requirements for procurements of annual summer flowers and autumn plants for planting in the municipal parks and graveyards. The agreement period is 2 years with an option for extension for 1 or more times, for up to 2 years. The total agreement period with options is 4 years.",S,Supplies,3121100,"Live plants, bulbs, roots, cuttings and slips",2400000.00,NOK,keine Angabe,keine Angabe,2400000.00,NOK
Procurement of Digital Interaction System for Kystverket's [the Norwegian Coastal Administration's] Project (Project Hotel),"Kystverket [the Norwegian Coastal Administration] needs to digitise the implementation phase of our project, including contracts and will therefore procure a system for interaction/project hotel.","Kystverket [the Norwegian Coastal Administration] needs to digitise the implementation phase of our project, including contracts and will therefore procure a system for interaction/project hotel.",S,Supplies,48000000,Software package and information systems,1600000,NOK,keine Angabe,keine Angabe,1600000,NOK
Single-molecule Confocal Fluorescence Microscope for Uni. Iceland,"An RFI was created to give interested suppliers the opportunity to provide information a potential system that UI would purchase. The number 1 criteria was demonstrated single-molecule sensitivity. Three potential suppliers replied: PicoQuant (PQ, Berlin, Germany), Medor (Iceland) and Inter (Iceland). The instrument fromInter, Elyra 7, is not a confocal microscope and therefore not capable of the majority of experiments required (time-domain FLIM, TCSPC, FCS, smFRET and even STED).The MT200 from PQ is the only instrument that provides all specifications of the RFI in a single instrument and demonstrates excellent support and experience. Given the prime requirement of single-molecule sensitivity, the MT200 is the strongest instrument on the market.","IntroductionAn RFI was created to give interested suppliers the opportunity to provide information a potential system that UI would purchase. The number 1 criteria was demonstrated single-molecule sensitivity. Three potential suppliers replied: PicoQuant (PQ, Berlin, Germany), Medor (Iceland) and Inter (Iceland). The instrument from Inter, Elyra 7, is not a confocal microscope and therefore not capable of the majority of experiments required (time-domain FLIM, TCSPC, FCS, smFRET and even STED). Thus, here we discuss only the offers from PQ and Medor, based on the documents provided.Point-by-pointPQ sells the MicroTime 200 (MT200), an instrument that addresses every point that was raised in the RFI. The MT200 is the only device that can offer all mentioned functions and answer question (a) of the RFI with comply. Other suppliers could only partially fulfill the required specifications. Medor sells the Olympus FV300, a laser scanning microscope (LSM) and they claim to be able to fulfill all requirements but only with an upgrade in collaboration with PQ.Single-molecule sensitivityThe number 1 requirement that the instrument needs to fulfill is single-molecule sensitivity. For single-molecule sensitivity, the MT200 is the best suited system, as it is dedicated to those applications. To achieve highest sensitivity within the MT200 the number of optical elements has been reduced to a minimum. Detection is done free-space for best sensitivity and not via multimode fiber like with LSM (Medor) techniques where higher losses of photons occur. Another adaption in the MT200 for single-molecule sensitivity is a slightly expanded point spread function size, that guarantees the observation single-molecule bursts and optimal gaussian beam shape. This is done via a slight underfilling of the back aperture of the objective. This is in contrast to overfilling the back aperture, as in standard confocal LSMs (Olympus, ZEISS,...), where the main goal is maximal spatial resolution.PQ works closely together with Olympus (FV3000 f.e.), Zeiss (LSM series) and Nikon when it comes to upgrading their confocal microscopes with time resolved fluorescence. However, while fluorescense lifetimes add powerful additional information to LSMs and works nicely for cell biology applications, for single-molecule sensitivity a dedicated system is an absolute must.The MT200 is an accessible, modular system with maximum access and free choice of filters and main dichroics for optimal performance. For LSMs like FV3000, access is very limited and additional dichroics might be very expensive.SoftwareIn terms of user-friendliness: the MT200 has 1 software for both data acquisition and data analysis whereas with Olympus and Zeiss there would at least be 2 different software platforms required.Other specifications from RFI:— calibrated photo diode allowing calculation of laser power at objective (only PQ),— CCD-camera-based monitoring of back-scattered excitation light for focusing onto single-molecule samples as well as easy alignment of the system (only PQ),— possibility of using up to 6 detection channels with single-photon avalanche detectors (SPADs) (only PQ. PQ offers upgrades in FV3000 to 4 detection channels only),— options of super-resolution microscopy (STED, FLIM-STED, STED-FCS), dual-focus FCS (2fFCS), AFM and optical tweezers, with demonstrated success shown by systems in the field – Only PQ has demonstrated successful implementation of AFM and optical tweezers. PQ can offer STED but Olympus and Zeiss need other companies to provide this. Dual-focus FCS is only provided by PQ.ExperiencePQ have over 20 years of experience with time-resolved confocal microscopy and they provided an extensive list of customers worldwide. They also offer user trainings and scientific workshops regularly.It is unclear at this point what the scientific experience or customer base is for Medor.ConclusionThe MT200 from PQ is the only instrument that provi",L,Supplies,38510000,Microscopes,326710.00,EUR,340000.00,EUR,326710.00,EUR
Uniform Products,"The purpose of the procurement is to enter into a framework agreement for uniform products that service personnel in different operative and administrative functions needs for their working lives. The framework agreement will apply to the Norwegian Police Service, the Norwegian Correctional Services, Norwegian Customs, the Norwegian Police Security Service (PST) and the Governor of Svalbard.Based on previous years’ procurements, the estimate for call-offs is approx. 16 000 000 NOK during the contract period, including the option years. The estimate is non-binding for the contracting authority. See the tender documentation for further details.","Lot 1 includes the following products:Service attire 1: (T1 uniform), gala uniform, all-season coat, arm brassard, tie.",U,Supplies,35811200,Police uniforms,16052840.00,NOK,keine Angabe,keine Angabe,15849840.00,NOK
Uniform Products,"The purpose of the procurement is to enter into a framework agreement for uniform products that service personnel in different operative and administrative functions needs for their working lives. The framework agreement will apply to the Norwegian Police Service, the Norwegian Correctional Services, Norwegian Customs, the Norwegian Police Security Service (PST) and the Governor of Svalbard.Based on previous years’ procurements, the estimate for call-offs is approx. 16 000 000 NOK during the contract period, including the option years. The estimate is non-binding for the contracting authority. See the tender documentation for further details.",Lot 2 includes the following products:Prosecutor Gowns. Used in court by police prosecutors.,U,Supplies,35811200,Police uniforms,16052840.00,NOK,keine Angabe,keine Angabe,203000.00,NOK
Blood Culture Bottles for Møre and Romsdal Hospital Trust (HMR),Møre and Romsdal Hospital Trust (Norwegian abbreviation HMR) intends to extend the existing contract for blood culture bottles on identical terms for the lifetime of the products. A new and open tender contest for blood culture bottles will most likely be implemented in connection with the opening of the Nord-Møre and Romsdal Hospital in 2023-2025.,"We refer to the PPR §13-4, letter C). Blood culture bottles are instrument dependent and any change of both instruments and blood culture bottles will have major consequences, both temporally and financial, as the instruments are connected to the automation.When the Nord-Møre and Romsdal Hospital (Norwegian abbreviation SNR) is put in operation, the independency for instruments and automation belts is not the same and it is therefore natural to call for an open tender contest then.",H,Supplies,33698100,Microbiological cultures,2500000.00,NOK,keine Angabe,keine Angabe,2500000.00,NOK
Pipetting Robot with Accompanying Instrument-dependent Consumables for the Delivery to Helse Stavanger HF,Procurement of a pipetting robot with the accompanying instrument-dependent consumables for delivery to Helse Stavanger HF.,Procurement of a pipetting robot with the accompanying instrument-dependent consumables for delivery to Helse Stavanger HF.,H,Supplies,38000000,"Laboratory, optical and precision equipments (excl. glasses)",3156783.00,NOK,keine Angabe,keine Angabe,3156783.00,NOK
Open Tender Contest for a Framework Agreement for Works Technician Services,"Oslo Municipality, c/o Omsorgsbygg Oslo KF, hereafter referred to as the contracting authority, extends an invitation to an open tender contest for the procurement of a framework agreement for works technician services. The aim of the procurement is to ensure that properties that do not have separate works technicians get operational work carried out that comes under Omsorgsbygg Oslo KF's responsibility as the owner of the buildings.","Oslo Municipality, c/o Omsorgsbygg Oslo KF, hereafter referred to as the contracting authority, extends an invitation to an open tender contest for the procurement of a framework agreement for works technician services. The aim of the procurement is to ensure that properties that do not have separate works technicians get operational work carried out that comes under Omsorgsbygg Oslo KF's responsibility as the owner of the buildings.",S,Services,98341130,Janitorial services,44000000.00,NOK,keine Angabe,keine Angabe,44000000.00,NOK
Assessment of the FKT Scheme [the Conflict Reduction Scheme],"Assess whether the scheme with grants for preventive measures against predatory animal damage and conflict prevention measures (FCT) can be improved in relation to the objectives of the scheme and if so, how.","Assess whether the scheme with grants for preventive measures against predatory animal damage and conflict prevention measures (FCT) can be improved in relation to the objectives of the scheme and if so, how.",E,Services,90710000,Environmental management,1500000.00,NOK,keine Angabe,keine Angabe,1500000.00,NOK
"Procurement of Cleaning Services for Nordland, Troms and Finnmark","The contracting authority would like tenders for the provision of cleaning services for the Norwegian Public Roads Administration in Nordland, Troms and Finnmark. Currently there are approx. 28 locations distributed throughout the 3 counties and the premises consist of everything from small inspection stations to larger office premises. See annex 1 Description of the buildings in location Groups 1-6 for a complete overview of the locations. Svolvær Traffic Station will join this contract in autumn 2020. The cleaning must be inspected based on The Nordic Standard INSTA 800 (NS-INSTA 800 Cleaning Quality — measuring system for judging the quality of cleaning). The latest available version of the standard must always be used.","The contracting authority would like tenders for the provision of cleaning services for the Norwegian Public Roads Administration in Nordland, Troms and Finnmark. Currently there are approx. 28 locations distributed throughout the 3 counties and the premises consist of everything from small inspection stations to larger office premises. See annex 1 Description of the buildings in location Groups 1-6 for a complete overview of the locations. Svolvær Traffic Station will join this contract in autumn 2020. The cleaning must be inspected based on The Nordic Standard INSTA 800 (NS-INSTA 800 Cleaning Quality — measuring system for judging the quality of cleaning). The latest available version of the standard must always be used.",S,Services,90911000,"Accommodation, building and window cleaning services",18000000.00,NOK,18000000.00,NOK,18000000.00,NOK
"Framework Agreement, Printing Services for the Sami Parliament","The objective of the tender contest is to enter into a framework agreement for printing services and promotional products for the Sami Parliament.The Sami Parliament, henceforth also referred to as the contracting authority, requests tenders for different printing services, e.g. the production of budgets, annual reports.The tender documentation includes all of the Sami Parliament's activities.","The objective of the tender contest is to enter into a framework agreement for printing services and promotional products for the Sami Parliament.The Sami Parliament, henceforth also referred to as the contracting authority, requests tenders for different printing services, e.g. the production of budgets, annual reports.The tender documentation includes all of the Sami Parliament's activities.",S,Services,22000000,Printed matter and related products,2400000.00,NOK,keine Angabe,keine Angabe,2400000.00,NOK
"Competitive Dialogue about Traffic and Travel Data, Case Area Lillehammer","The contracting authority wants good quality data about travel habits and traffic along the road network both in and through towns and densely populated areas. It is a necessary basis in road planning, town and densely populated area development, toll money reviews, coordinated housing, area and transport planning, mobility planning, as well as performance management and planning. Traffic data (including travel times) combined with data and events is necessary for operative traffic control and to give information to the public through different channels. The contracting authority now wants to use new data sources to get better information about the travel pattern in and through towns and densely populated areas.","The contracting authority wants good quality data about travel habits and traffic along the road network both in and through towns and densely populated areas. It is a necessary basis in road planning, town and densely populated area development, toll money reviews, coordinated housing, area and transport planning, mobility planning, as well as performance management and planning. Traffic data (including travel times) combined with data and events is necessary for operative traffic control and to give information to the public through different channels. The contracting authority now wants to use new data sources to get better information about the travel pattern in and through towns and densely populated areas.",S,Services,72314000,Data collection and collation services,2000000.00,NOK,1000000.00,NOK,1000000.00,NOK
"EEA 073-2019 Voluntary Ex-ante Transparency Notice — Load Administration, Start Loans","Case management for processing applications, payments and the administration of loans/subsidies is currently carried out by executive officers in the Housing Department, supported by a tailor-made internal trade system, Boinfo. The Housing Department administers approx. 3 000 standing loans/subsidies.Bergen Municipality has started a project to digitalise processes in the Housing Department, including the administration of start loans/subsidies. Prioritised aims for the project are digital first choice for all customers/service recipients of the Housing Department, the establishment of a fully electronic archive and a simplification of the trade system by transferring functions to standardised systems.","Bergen Municipality, c/o the Housing Department, intends to enter into a contract with Lindorff for the provision of the service administration of start loans/subsidies. The framework agreement period will be 4 years, with a mutual termination deadline of 6 months.The start-up is planned for May 2020, providing that the conversion of the loan portfolio is approved.The municipality published a prior information notice in order to get feedback from the market and was also in contact with other municipalities to get an overview of possible systems in the market. Based on this process, the municipality is of the opinion that Lindorff is the only service provider who have systems in place that meet the needs for administering start loans.",S,Services,66100000,Banking and investment services,12000000.00,NOK,12000000.00,NOK,12000000.00,NOK
Perceval Road Development,Construction work for new build housing at Goathill.,HHP require suitably qualified and experienced contractors to provide design and build (D&B) services for the delivery of 74 houses which already have full planning permission in respect of the external configuration and site layout. The development comprises 37 semi detached blocks.,A,Works,45211100,Construction work for houses,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe
